uri:/instrument/1.0/AAPL/chartdata;type=quote;range=10y/csv
ticker:aapl
Company-Name:Apple Inc.
Exchange-Name:NMS
unit:WEEK
timestamp:
first-trade:19801212
last-trade:20140609
currency:USD
previous_close_price:2.1957
Date:20040614,20140609
labels:20040614,20050103,20060103,20070103,20080107,20090105,20100104,20110103,20120103,20130107,20140106
values:Date,close,high,low,open,volume
close:2.1271,100.0129
high:2.2443,100.7243
low:2.0529,99.0886
open:2.1321,99.9071
volume:46994080,585520576
20040614,2.3507,2.3864,2.1071,2.1893,127791728
20040621,2.4071,2.4164,2.2943,2.3657,85876840
20040628,2.2200,2.4421,2.1236,2.4414,136865968
20040706,2.1450,2.2443,2.1393,2.2336,74326000
20040712,2.3000,2.4021,2.0529,2.1443,195985168
20040719,2.1929,2.3364,2.1771,2.2864,88293240
20040726,2.3100,2.3571,2.1986,2.2036,78458520
20040802,2.1271,2.3071,2.1214,2.2271,79500120
20040809,2.2029,2.2529,2.1293,2.1321,75926200
20040816,2.2000,2.2757,2.1679,2.2143,91452480
20040823,2.4536,2.5129,2.1857,2.2043,123954328
20040830,2.5164,2.5707,2.4257,2.4286,90511120
20040907,2.5621,2.6121,2.5164,2.5286,89677352
20040913,2.6529,2.6700,2.4843,2.5629,88684680
20040920,2.6636,2.7764,2.6293,2.6343,90011600
20040927,2.7621,2.8050,2.6307,2.6393,95731440
20041004,2.7900,2.9236,2.7429,2.7986,110596360
20041011,3.2500,3.2679,2.6893,2.7714,287331264
20041018,3.3864,3.4536,3.1929,3.1929,190771280
20041025,3.7429,3.8000,3.3550,3.3714,192749200
20041101,3.9086,4.0079,3.7171,3.7500,233494256
20041108,3.9643,3.9779,3.8129,3.8764,115718128
20041115,3.9407,4.0650,3.8729,3.9429,114666440
20041122,4.6107,4.6971,4.1357,4.4143,338787040
20041129,4.4771,4.9693,4.4107,4.9250,288414016
20041206,4.6536,4.7664,4.4321,4.5893,225699872
20041213,4.6421,4.8214,4.6143,4.6871,155936768
20041220,4.5721,4.7143,4.4000,4.6764,190268752
20041227,4.6000,4.6536,4.4321,4.6286,112236872
20050103,4.9464,4.9736,4.4714,4.6271,270112064
20050110,5.0143,5.3157,4.5214,4.9879,559604928
20050118,5.0350,5.1143,4.8393,4.9893,224038144
20050124,5.2843,5.2843,5.0393,5.0700,192409840
20050131,5.6314,5.7079,5.3221,5.3271,233738128
20050207,5.8007,5.8564,5.4757,5.6379,245000272
20050214,6.2007,6.4914,5.8607,5.9093,395232608
20050222,6.3564,6.4221,6.0921,6.1643,312438336
20050228,6.1157,6.4486,5.8886,6.3829,187311600
20050307,5.7529,6.1786,5.5471,6.1143,210224432
20050314,6.1371,6.2057,5.6457,5.7886,177693872
20050321,6.0714,6.2814,6.0029,6.1843,128441952
20050328,5.8414,6.1371,5.7957,6.1071,120457264
20050404,6.2486,6.3500,5.7371,5.8557,135400864
20050411,5.0500,6.3214,5.0400,6.3071,382797536
20050418,5.0714,5.3914,4.8571,5.0000,247633680
20050425,5.1514,5.3586,5.0314,5.2129,170879664
20050502,5.3200,5.3329,5.1457,5.1729,106222472
20050509,4.9671,5.3500,4.7300,5.3257,225544752
20050516,5.3643,5.3829,4.9329,4.9371,147258720
20050523,5.7943,5.8486,5.4071,5.4071,143678496
20050531,5.4629,5.8229,5.3957,5.8086,136803808
20050606,5.1157,5.5186,5.0743,5.4757,151521296
20050613,5.4729,5.5057,5.1071,5.1271,124538128
20050620,5.3943,5.6829,5.3400,5.4071,110206600
20050627,5.2143,5.4429,5.1600,5.2629,103361016
20050705,5.4643,5.4686,5.2143,5.2214,95209624
20050711,5.9357,6.0014,5.3971,5.4814,212220256
20050718,6.2857,6.2914,5.8671,5.9157,120806272
20050725,6.0929,6.3400,6.0371,6.2843,83018040
20050801,6.1414,6.2143,6.0029,6.0814,69034136
20050808,6.5857,6.6029,6.0871,6.1429,105309400
20050815,6.5471,6.9043,6.5357,6.6400,147160160
20050822,6.5343,6.7314,6.4657,6.5929,89635984
20050829,6.6029,6.7386,6.4657,6.4671,87837960
20050906,7.3300,7.3357,6.6500,6.6714,193748448
20050912,7.3157,7.3757,7.0471,7.3000,121313360
20050919,7.6000,7.6871,7.2929,7.2929,153024624
20050926,7.6586,7.7943,7.2271,7.7186,159114480
